defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	anatomical_entity_fused_with	anatomical_entity_fused_with_label	location	location_label	location_fused_with	location_fused_with_label
http://purl.obolibrary.org/obo/ZP_0103455	EVL fused with nucleus nucleus EVL, abnormal	http://purl.obolibrary.org/obo/GO_0005634	cell nucleus	http://purl.obolibrary.org/obo/GO_0005634	cell nucleus	http://purl.obolibrary.org/obo/ZFA_0000086	EVL	http://purl.obolibrary.org/obo/ZFA_0000086	EVL
http://purl.obolibrary.org/obo/ZP_0103455	EVL fused with nucleus nucleus EVL, abnormal	http://purl.obolibrary.org/obo/GO_0005634	nucleus	http://purl.obolibrary.org/obo/GO_0005634	cell nucleus	http://purl.obolibrary.org/obo/ZFA_0000086	EVL	http://purl.obolibrary.org/obo/ZFA_0000086	EVL
http://purl.obolibrary.org/obo/ZP_0103455	EVL fused with nucleus nucleus EVL, abnormal	http://purl.obolibrary.org/obo/GO_0005634	cell nucleus	http://purl.obolibrary.org/obo/GO_0005634	nucleus	http://purl.obolibrary.org/obo/ZFA_0000086	EVL	http://purl.obolibrary.org/obo/ZFA_0000086	EVL
http://purl.obolibrary.org/obo/ZP_0103455	EVL fused with nucleus nucleus EVL, abnormal	http://purl.obolibrary.org/obo/GO_0005634	nucleus	http://purl.obolibrary.org/obo/GO_0005634	nucleus	http://purl.obolibrary.org/obo/ZFA_0000086	EVL	http://purl.obolibrary.org/obo/ZFA_0000086	EVL
http://purl.obolibrary.org/obo/ZP_0006199	Meckel's cartilage fused with ventral region dorsal region palatoquadrate cartilage, abnormal	http://purl.obolibrary.org/obo/BSPO_0000084	ventral region	http://purl.obolibrary.org/obo/BSPO_0000079	dorsal region	http://purl.obolibrary.org/obo/ZFA_0001205	Meckel's cartilage	http://purl.obolibrary.org/obo/ZFA_0001399	palatoquadrate cartilage
http://purl.obolibrary.org/obo/ZP_0106292	Weberian vertebra fused with neural arch centrum Weberian vertebra, abnormal	http://purl.obolibrary.org/obo/ZFA_0001066	neural arch	http://purl.obolibrary.org/obo/ZFA_0000126	centrum	http://purl.obolibrary.org/obo/ZFA_0001190	Weberian vertebra	http://purl.obolibrary.org/obo/ZFA_0001190	Weberian vertebra
http://purl.obolibrary.org/obo/ZP_0106291	caudal vertebra fused with neural arch neural arch caudal vertebra, abnormal	http://purl.obolibrary.org/obo/ZFA_0001066	neural arch	http://purl.obolibrary.org/obo/ZFA_0001066	neural arch	http://purl.obolibrary.org/obo/ZFA_0000326	caudal vertebra	http://purl.obolibrary.org/obo/ZFA_0000326	caudal vertebra
http://purl.obolibrary.org/obo/ZP_0010508	heart primordium fused with left side right side heart primordium, abnormal	http://purl.obolibrary.org/obo/BSPO_0000000	left side	http://purl.obolibrary.org/obo/BSPO_0000007	right side	http://purl.obolibrary.org/obo/ZFA_0000028	heart primordium	http://purl.obolibrary.org/obo/ZFA_0000028	heart primordium
http://purl.obolibrary.org/obo/ZP_0006200	hyosymplectic cartilage fused with dorsal region ventral region ceratohyal cartilage, abnormal	http://purl.obolibrary.org/obo/BSPO_0000079	dorsal region	http://purl.obolibrary.org/obo/BSPO_0000084	ventral region	http://purl.obolibrary.org/obo/ZFA_0001422	hyosymplectic cartilage	http://purl.obolibrary.org/obo/ZFA_0001400	ceratohyal cartilage
http://purl.obolibrary.org/obo/ZP_0145222	neuromast hair cell fused with autophagosome lysosome neuromast hair cell, abnormal	http://purl.obolibrary.org/obo/GO_0005776	autophagosome	http://purl.obolibrary.org/obo/GO_0005764	lysosome	http://purl.obolibrary.org/obo/ZFA_0009367	neuromast hair cell	http://purl.obolibrary.org/obo/ZFA_0009367	neuromast hair cell
http://purl.obolibrary.org/obo/ZP_0014453	neuromast hair cell fused with stereocilium stereocilium neuromast hair cell, abnormal	http://purl.obolibrary.org/obo/GO_0032420	stereocilium	http://purl.obolibrary.org/obo/GO_0032420	stereocilium	http://purl.obolibrary.org/obo/ZFA_0009367	neuromast hair cell	http://purl.obolibrary.org/obo/ZFA_0009367	neuromast hair cell
http://purl.obolibrary.org/obo/ZP_0009864	paraxial mesoderm fused with left side right side paraxial mesoderm, abnormal	http://purl.obolibrary.org/obo/BSPO_0000000	left side	http://purl.obolibrary.org/obo/BSPO_0000007	right side	http://purl.obolibrary.org/obo/ZFA_0000255	paraxial mesoderm	http://purl.obolibrary.org/obo/ZFA_0000255	paraxial mesoderm
http://purl.obolibrary.org/obo/ZP_0005249	pharyngeal arch 3-7 fused with neural crest cell neural crest cell pharyngeal arch 3-7, abnormal	http://purl.obolibrary.org/obo/ZFA_0009165	neural crest cell	http://purl.obolibrary.org/obo/ZFA_0009165	neural crest cell	http://purl.obolibrary.org/obo/ZFA_0001613	pharyngeal arch 3-7	http://purl.obolibrary.org/obo/ZFA_0001613	pharyngeal arch 3-7
http://purl.obolibrary.org/obo/ZP_0010635	pharyngeal arch fused with mesenchyme condensation cell mesenchyme condensation cell pharyngeal arch, abnormal	http://purl.obolibrary.org/obo/ZFA_0009166	mesenchyme condensation cell	http://purl.obolibrary.org/obo/ZFA_0009166	mesenchyme condensation cell	http://purl.obolibrary.org/obo/ZFA_0001306	pharyngeal arch	http://purl.obolibrary.org/obo/ZFA_0001306	pharyngeal arch
http://purl.obolibrary.org/obo/ZP_0106290	precaudal vertebra fused with hemal arch hemal arch precaudal vertebra, abnormal	http://purl.obolibrary.org/obo/ZFA_0000519	hemal arch	http://purl.obolibrary.org/obo/ZFA_0000519	hemal arch	http://purl.obolibrary.org/obo/ZFA_0000263	precaudal vertebra	http://purl.obolibrary.org/obo/ZFA_0000263	precaudal vertebra
http://purl.obolibrary.org/obo/ZP_0003577	pronephric duct fused with medial side medial side pronephric duct, abnormal	http://purl.obolibrary.org/obo/BSPO_0000067	medial side	http://purl.obolibrary.org/obo/BSPO_0000067	medial side	http://purl.obolibrary.org/obo/ZFA_0000150	pronephric duct	http://purl.obolibrary.org/obo/ZFA_0000150	pronephric duct
http://purl.obolibrary.org/obo/ZP_0014400	pronephric tubule fused with anterior region anterior region pronephric tubule, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0001558	pronephric tubule	http://purl.obolibrary.org/obo/ZFA_0001558	pronephric tubule
http://purl.obolibrary.org/obo/ZP_0104304	rhombomere 2 fused with migratory cranial neural crest migratory cranial neural crest rhombomere 4, abnormal	http://purl.obolibrary.org/obo/ZFA_0007087	migratory cranial neural crest	http://purl.obolibrary.org/obo/ZFA_0007087	migratory cranial neural crest	http://purl.obolibrary.org/obo/ZFA_0000822	rhombomere 2	http://purl.obolibrary.org/obo/ZFA_0001032	rhombomere 4
http://purl.obolibrary.org/obo/ZP_0009926	rhombomere 3 fused with left side right side rhombomere 3, abnormal	http://purl.obolibrary.org/obo/BSPO_0000000	left side	http://purl.obolibrary.org/obo/BSPO_0000007	right side	http://purl.obolibrary.org/obo/ZFA_0000948	rhombomere 3	http://purl.obolibrary.org/obo/ZFA_0000948	rhombomere 3
http://purl.obolibrary.org/obo/ZP_0000157	rhombomere 5 fused with left side right side rhombomere 5, abnormal	http://purl.obolibrary.org/obo/BSPO_0000000	left side	http://purl.obolibrary.org/obo/BSPO_0000007	right side	http://purl.obolibrary.org/obo/ZFA_0000823	rhombomere 5	http://purl.obolibrary.org/obo/ZFA_0000823	rhombomere 5
http://purl.obolibrary.org/obo/ZP_0015249	secondary motor neuron fused with anatomical region anatomical region secondary motor neuron, abnormal	http://purl.obolibrary.org/obo/BSPO_0000070	anatomical region	http://purl.obolibrary.org/obo/BSPO_0000070	anatomical region	http://purl.obolibrary.org/obo/ZFA_0009247	secondary motor neuron	http://purl.obolibrary.org/obo/ZFA_0009247	secondary motor neuron
http://purl.obolibrary.org/obo/ZP_0145147	skeletal muscle fused with mitochondrion mitochondrion skeletal muscle, abnormal	http://purl.obolibrary.org/obo/GO_0005739	mitochondrion	http://purl.obolibrary.org/obo/GO_0005739	mitochondrion	http://purl.obolibrary.org/obo/ZFA_0005277	skeletal muscle	http://purl.obolibrary.org/obo/ZFA_0005277	skeletal muscle
http://purl.obolibrary.org/obo/ZP_0010333	somite 11 fused with dorso-medial margin dorso-medial margin somite 11, abnormal	http://purl.obolibrary.org/obo/BSPO_0000048	dorso-medial margin	http://purl.obolibrary.org/obo/BSPO_0000048	dorso-medial margin	http://purl.obolibrary.org/obo/ZFA_0000725	somite 11	http://purl.obolibrary.org/obo/ZFA_0000725	somite 11
http://purl.obolibrary.org/obo/ZP_0010339	somite 12 fused with dorso-medial margin dorso-medial margin somite 12, abnormal	http://purl.obolibrary.org/obo/BSPO_0000048	dorso-medial margin	http://purl.obolibrary.org/obo/BSPO_0000048	dorso-medial margin	http://purl.obolibrary.org/obo/ZFA_0000851	somite 12	http://purl.obolibrary.org/obo/ZFA_0000851	somite 12
http://purl.obolibrary.org/obo/ZP_0010344	somite 13 fused with dorso-medial margin dorso-medial margin somite 13, abnormal	http://purl.obolibrary.org/obo/BSPO_0000048	dorso-medial margin	http://purl.obolibrary.org/obo/BSPO_0000048	dorso-medial margin	http://purl.obolibrary.org/obo/ZFA_0000975	somite 13	http://purl.obolibrary.org/obo/ZFA_0000975	somite 13
http://purl.obolibrary.org/obo/ZP_0010335	somite 14 fused with dorso-medial margin dorso-medial margin somite 14, abnormal	http://purl.obolibrary.org/obo/BSPO_0000048	dorso-medial margin	http://purl.obolibrary.org/obo/BSPO_0000048	dorso-medial margin	http://purl.obolibrary.org/obo/ZFA_0000726	somite 14	http://purl.obolibrary.org/obo/ZFA_0000726	somite 14
http://purl.obolibrary.org/obo/ZP_0010341	somite 15 fused with dorso-medial margin dorso-medial margin somite 15, abnormal	http://purl.obolibrary.org/obo/BSPO_0000048	dorso-medial margin	http://purl.obolibrary.org/obo/BSPO_0000048	dorso-medial margin	http://purl.obolibrary.org/obo/ZFA_0000852	somite 15	http://purl.obolibrary.org/obo/ZFA_0000852	somite 15
http://purl.obolibrary.org/obo/ZP_0010404	somite fused with medial side medial side somite, abnormal	http://purl.obolibrary.org/obo/BSPO_0000067	medial side	http://purl.obolibrary.org/obo/BSPO_0000067	medial side	http://purl.obolibrary.org/obo/ZFA_0000155	somite	http://purl.obolibrary.org/obo/ZFA_0000155	somite
http://purl.obolibrary.org/obo/ZP_0147675	somite fused with ventral side ventral side somite, abnormal	http://purl.obolibrary.org/obo/BSPO_0000068	ventral side	http://purl.obolibrary.org/obo/BSPO_0000068	ventral side	http://purl.obolibrary.org/obo/ZFA_0000155	somite	http://purl.obolibrary.org/obo/ZFA_0000155	somite
http://purl.obolibrary.org/obo/ZP_0014336	yolk syncytial layer fused with chromosome chromosome yolk syncytial layer, abnormal	http://purl.obolibrary.org/obo/GO_0005694	chromosome	http://purl.obolibrary.org/obo/GO_0005694	chromosome	http://purl.obolibrary.org/obo/ZFA_0000088	yolk syncytial layer	http://purl.obolibrary.org/obo/ZFA_0000088	yolk syncytial layer
