ID	Superclass
ID	SC %
http://purl.obolibrary.org/obo/MP_0000001	UPHENO:0001003
http://purl.obolibrary.org/obo/HP_0000118	UPHENO:0001003
http://purl.obolibrary.org/obo/WBPhenotype_0000886	UPHENO:0001003
http://purl.obolibrary.org/obo/XPO_00000000	UPHENO:0001003
http://purl.obolibrary.org/obo/PLANP_00000000	UPHENO:0001003
http://purl.obolibrary.org/obo/ZP_0000000	UPHENO:0001003
http://purl.obolibrary.org/obo/FBcv_0001347	UPHENO:0001003
http://purl.obolibrary.org/obo/FYPO_0000001	UPHENO:0001003
http://purl.obolibrary.org/obo/DDPHENO_0010000	UPHENO:0001003
http://purl.obolibrary.org/obo/PHIPO_0000505	UPHENO:0001003
http://purl.obolibrary.org/obo/MGPO_0001001	UPHENO:0001003
http://purl.obolibrary.org/obo/APO_0000017	UPHENO:0001003